"ID","NAME","EMAILADDRESS","FAXNUMBER","MOBILEPHONENUMBER","PHONENUMBER","FIRSTNAME","CREATED_BYUSER","CREATED_AT","MODIFIED_BYUSER","MODIFIED_AT"
"35a245a5-8717-48f1-8a18-6b7ebd76479c","Müller","supplier-do.not.reply@sap.com","0622734004","01783456789","0622734567","Karl","walter.winter@itelo.info","2001-08-12T13:03:12","al.wallace@itelo.info","2009-07-31T20:09:10"
"70782300-5f6f-4530-b9ef-87ed361c7d0d","Gahn","hjg@sap.com","0622734004","16090432545","0622746358","Harald","john.smith@itelo.info","2001-12-25T20:21:21","james.smith@itelo.info","2008-04-16T12:21:09"
"6f388e34-f51a-4e91-9c8f-bc4a039cb2e5","Schulze","supplier-dagmar.schulze@beckerberlin.de","3088004","01708530853","3088530","Dagmar","peter.fuchs@itelo.info","2001-01-31T10:03:21","megan.wang@itelo.info","2004-02-11T15:11:15"
"edc52634-78c0-4335-b05a-96100d31b44e","Wexler","ursula.wexler@beckerberlin.de","3088004","017667507579","3088529","Ursula","nam.huik@itelo.info","2001-01-18T06:16:14","nora.dwyer@itelo.info","2007-04-10T14:12:07"
"0488b8e5-66e1-486f-a14f-23020e6548f2","Brown","supplier-maria.brown@delbont.com","3023352004","2053352668","3023352668","Maria","clark.kent@itelo.info","2001-05-25T04:19:23","hermann.hecker@itelo.info","2015-04-01T22:02:23"
"88f0a0fb-ba0a-4e4c-b455-694dea0bc341","Pelt","sam.pelt@delbont.com","3023352004","80289541668","25621140333","Sam","michael.miller@itelo.info","2001-02-27T07:19:12","jonathan.east@itelo.info","2008-04-26T23:04:15"
"80e01b94-894b-4df8-8c31-4e0dc69011ed","Sommer","supplier-saskia.sommer@talpa-hannover.de","511403004","01701403266","511403266","Saskia","ngoc@itelo.info","2001-12-16T22:20:15","john.smith@itelo.info","2004-07-31T17:05:02"
"e8774f12-ca07-4ecd-b568-dbd5a6880712","Pfeffer","julia.pfeffer@talpa-hannover.de","511403004","015528393951","03848362558616","Julia","karl.kessler@itelo.info","2001-04-01T04:00:03","al.wallace@itelo.info","2012-04-17T06:17:21"
"0b38a72a-4b45-4559-80a3-d5afa74f4648","Buyer","supplier-bob.buyer@panorama-studios.biz","2244668004","20644668800","2244668800","Bob","john.nicols@itelo.info","2001-04-11T19:03:09","maria.hicks@itelo.info","2004-02-11T15:11:15"
"5bf08eab-4df2-4169-81bc-c0da07e448f3","Oshaughnessy","timothy.oshaughnessy@panorama-studios.biz","2244668004","80289541668","25621140333","Timothy","susan.summer@itelo.info","2001-03-22T22:23:03","barbara.ingalls@itelo.info","2002-06-25T12:19:16"
"5f04da30-6aad-4313-8c25-a528813ed3cf","Koenig","supplier-bart.koenig@tecum-ag.de","2511004","01712511415","2511415","Bart","rudolf.platte@itelo.info","2001-12-31T06:04:00","franco.fall@itelo.info","2004-09-02T04:09:18"
"92e5e55a-59ec-4f11-a354-33282d7649ee","Bohm","nicole.bohm@tecum-ag.de","2511004","016310536760","0736689984351","Nicole","mary.watson@itelo.info","2001-06-25T17:02:12","james.field@itelo.info","2002-03-31T13:20:06"
"767a2d35-db5f-492d-9ce9-2f4088baeeb0","Nakamura","supplier-yoko.nakamura@asia-ht.com","9078563004","09057600415","9078563412","Yoko","peter.douglas@itelo.info","2001-11-20T17:01:19","maria.hicks@itelo.info","2015-04-23T17:12:16"
"1f6891b2-affe-4ad2-88e9-0b9a1d4509a6","Koshiishi","hidehisa.koshiishi@asia-ht.com","9078563004","09057600414","9078563413","Hidehisa","john.nicols@itelo.info","2001-12-13T22:19:03","sue.bay@itelo.info","2003-09-16T18:21:11"
"8950831d-c08f-4232-a99a-bc1fc8cc9c9b","Ribery","supplier-sophie.ribery@laurent-paris.com","149744004","06103426880","149744423","Sophie","john.nicols@itelo.info","2001-11-20T17:01:19","viola.gains@itelo.info","2017-09-16T06:12:00"
"19b40f31-19b6-4eed-b0e1-2f094e1cda57","Pasqua","jean.louis.pasqua@laurent-paris.com","149744004","06103437990","149744454","Jean-Louis","james.field@itelo.info","2001-04-01T04:00:03","anna.lerch@itelo.info","2002-07-08T13:00:00"
"569d5267-d7e3-43d9-b3e5-6cf84952db52","Sanchez","supplier-victor.sanchez@avantel.com","7257004","05518508544","7257716","Victor","joanne.rush@itelo.info","2001-02-08T03:02:10","james.field@itelo.info","2016-12-20T10:15:09"
"7beecee8-df56-41eb-a4e9-65b094d874a3","Pretelini","angelica.pretelini@avantel.com","7257004","05518503444","7257717","Angelica","jonathan.east@itelo.info","2001-04-28T07:01:08","carol.aranda@itelo.info","2008-11-03T15:19:07"
"af235cd3-dd01-4bca-a6db-aba749be70e9","Velez","supplier-jorge.velez@telecomunicacionesstar.com","1133557004","01123224060","1133557799","Jorge","sally.spring@itelo.info","2001-11-06T09:03:10","clark.kent@itelo.info","2008-04-21T01:02:00"
"d8ac4d46-694d-42a7-9639-9f570a0c2e43","Barros","renan.barros@telecomunicacionesstar.com","1133557004","167918745889","1133557743","Renan","karl.kessler@itelo.info","2001-12-17T13:20:12","john.nicols@itelo.info","2004-09-02T04:09:18"
"7600966d-f2b0-468f-b550-0b82a8d97d86","Jones","supplier-franklin.jones@pear-computing.com","6789012004","2076789012346","6789012345","Franklin","ngoc@itelo.info","2001-04-11T05:23:12","al.wallace@itelo.info","2008-04-16T12:21:09"
"54bf75f8-c9b4-4463-8307-64453d35a3bd","Ramirez","esther.ramirez@pear-computing.com","6789012004","70270038165","82857403965","Esther","nora.dwyer@itelo.info","2001-02-03T17:19:07","sue.bay@itelo.info","2010-02-18T16:20:18"
"abbf07d2-965b-4c56-bc27-8cfdf8b0fa4c","Gschwandtner","supplier-joseph_gschwandtner@alp-systems.at","6623612004","06508289569","6623612804","Joseph","viola.gains@itelo.info","2001-09-19T23:07:00","walter.winter@itelo.info","2004-07-08T19:01:10"
"fa3ad888-7940-4ba6-88ce-7300dadbeb87","Schröder","karolin.schroeder@alp-systems.at","6623612004","06508289669","6623612812","Karolin","joanne.rush@itelo.info","2001-11-20T16:06:21","hermann.hecker@itelo.info","2008-12-25T19:02:09"
"90467108-ff2a-4de2-ba7a-977f0383263a","Grant","supplier-george_d_grant@newlinedesign.co.uk","2589436004","07111748596","2589436180","George","john.smith@itelo.info","2001-01-11T07:14:18","maria.hicks@itelo.info","2010-06-24T11:08:13"
"f00ed32d-5531-46ac-85c9-aa0ee4bf62c5","Wright","wright_brigida@newlinedesign.co.uk","2589436004","7808576317","2089177317","Brigida","susan.summer@itelo.info","2001-01-03T20:23:19","ngoc@itelo.info","2018-05-23T11:11:11"
"3ae2c932-8568-45ca-933a-316c8c1969f1","Schwind","supplier-sarah.schwind@hepa-tec.de","4507867004","01707867136","4507867136","Sarah","catherine.jones@itelo.info","2001-09-17T12:00:00","james.smith@itelo.info","2011-09-29T10:13:21"
"f2a574e6-fd9f-4a2b-8539-0a71a35a11ff","König","marko.koenig@hepa-tec.de","4507867004","017074291013","0659410795031","Marko","sally.spring@itelo.info","2001-02-27T07:19:12","al.wallace@itelo.info","2008-05-03T13:20:18"
"b06e6fc7-5add-4898-8b0c-89d38483282b","Monathy","supplier-theodor.monathy@anavideon.com","5850428004","208585042836","5850428367","Theodor","james.field@itelo.info","2001-05-30T07:08:09","mary.watson@itelo.info","2013-02-21T13:04:00"
"1c67e16c-9cf6-4bb4-a42d-2393fe40c3d9","McCutcheon","mc.cutcheon.Carlene@anavideon.com","5850428004","25339930893","90769766025","Carlene","peter.fuchs@itelo.info","2001-12-03T06:16:23","al.wallace@itelo.info","2012-07-04T22:19:15"
"f47961b0-cf21-48d7-8846-eacc69d41b11","Brown","supplier-robert_brown@rb-entertainment.ca","7609448004","51494321664","7609448173","Robert","james.field@itelo.info","2001-03-14T05:07:06","john.smith@itelo.info","2017-06-18T03:03:01"
"a8150c9f-5983-4055-b9fc-019700876b8e","Charley","charley.jesse@rb-entertainment.ca","7609448004","51494321614","7609448673","Jesse","barbara.ingalls@itelo.info","2001-05-30T07:08:09","anna.lerch@itelo.info","2011-03-07T12:21:00"
"473e829e-4ac6-4190-a465-8b5ada2357a6","Montalban","supplier-jorgemontalban@motc.mx","6879342004","18112779979","6879342945","Jorge","al.wallace@itelo.info","2001-10-30T12:08:20","barbara.ingalls@itelo.info","2016-08-28T23:06:05"
"cc600afb-f1f3-4d4e-8d92-adbe1f1fd512","Ferreira","ferreira.danilo@motc.mx","6879342004","157987719323","1977971188","Danilo","susan.summer@itelo.info","2001-09-04T13:14:23","john.smith@itelo.info","2016-03-20T12:01:10"
"7477a6f9-f9aa-4db8-9c34-2c7f5b564b42","Esther","supplier-johanna.esther@meliva.de","2208791004","01528791738","2208791738","Johanna","changf@itelo.info","2001-10-25T12:21:06","mary.watson@itelo.info","2017-04-26T02:10:20"
"dd67eed4-e297-4862-88cf-d13e29604851","Schroeder","kevin.schroeder@meliva.de","2208791004","016077825436","2208791951","Kevin","karl.kessler@itelo.info","2001-03-27T14:12:10","barbara.ingalls@itelo.info","2010-11-18T00:05:02"
